"scenario","model","fdr_adj_mean","fdr_adj_sd","fdr_adj_lo95","fdr_adj_hi95","fdr_raw_mean","fdr_raw_sd","fdr_raw_lo95","fdr_raw_hi95","fpr_adj_mean","fpr_adj_sd","fpr_adj_lo95","fpr_adj_hi95","fpr_raw_mean","fpr_raw_sd","fpr_raw_lo95","fpr_raw_hi95","power_adj_mean","power_adj_sd","power_adj_lo95","power_adj_hi95","power_raw_mean","power_raw_sd","power_raw_lo95","power_raw_hi95","bias_mean","bias_sd","bias_lo95","bias_hi95","rmse_mean","rmse_sd","rmse_lo95","rmse_hi95","ci_coverage_mean","ci_coverage_sd","ci_coverage_lo95","ci_coverage_hi95","n_seeds"
"shared","dream_quint",0.336731184744768,0.0812225269121939,0.199097159524967,0.456816189362946,0.562856497953189,0.0403235638149919,0.463080706068324,0.622607763753275,0.0535072869054373,0.0187956126485077,0.0266666666666667,0.0878534482758621,0.141204321940378,0.0219064663687341,0.0930258620689655,0.176210326288469,0.909389898989899,0.0296376896953732,0.85225,0.95775,0.9734,0.0161131205252498,0.94225,1,-0.2212747799023,0.0260923846678493,-0.264315159181658,-0.174741252199639,0.363448681819203,0.028399417326852,0.310623956179802,0.422213058911853,0.559113131313131,0.0510087367329822,0.4645,0.63775,50
"shared","seurat_blind",0.8711190346363,0.00455614125743657,0.861262298814072,0.879698403229101,0.886623601907667,0.0021722119665767,0.882476925196308,0.890926285319562,0.745866666666667,0.030194665307818,0.689777777777778,0.806527777777778,0.866088888888889,0.0172924688364053,0.834333333333333,0.89925,0.9918,0.00849729849026461,0.98,1,0.9964,0.00562791874388349,0.98225,1,-0.0971637061223072,0.0436051738456592,-0.167001786689319,-0.0186217844610478,0.230179255704605,0.101086730634537,0.169528903945698,0.580033935251141,NA,NA,NA,NA,50
"shared","seurat_napari",0.871512211725914,0.00465133610198939,0.861795082247529,0.880860357554244,0.886528116937034,0.00236855242346223,0.88252221909601,0.891873809297009,0.748222222222222,0.0306969517552599,0.692861111111111,0.807527777777778,0.865866666666667,0.0196531270250932,0.834694444444444,0.910944444444444,0.9914,0.00857380919321353,0.98,1,0.997,0.00543983793275994,0.98225,1,-0.0971637061223072,0.0436051738456592,-0.167001786689319,-0.0186217844610478,0.230179255704605,0.101086730634537,0.169528903945698,0.580033935251141,NA,NA,NA,NA,50
"shared","seurat_quint",0.871512211725914,0.00465133610198939,0.861795082247529,0.880860357554244,0.886528116937034,0.00236855242346223,0.88252221909601,0.891873809297009,0.748222222222222,0.0306969517552599,0.692861111111111,0.807527777777778,0.865866666666667,0.0196531270250932,0.834694444444444,0.910944444444444,0.9914,0.00857380919321353,0.98,1,0.997,0.00543983793275994,0.98225,1,-0.0971637061223072,0.0436051738456592,-0.167001786689319,-0.0186217844610478,0.230179255704605,0.101086730634537,0.169528903945698,0.580033935251141,NA,NA,NA,NA,50
"shared","wilcoxon",0.867904510482618,0.00434229574499168,0.86013986013986,0.87515762925599,0.885026347389792,0.00203407069064945,0.881016132976884,0.889699642558861,0.723844444444444,0.0265570403478681,0.68075,0.775416666666667,0.852133333333333,0.0159487716046299,0.821,0.887277777777778,0.9904,0.00856189946501241,0.97225,1,0.996,0.00571428571428572,0.98225,1,-0.0971637061223072,0.0436051738456592,-0.167001786689319,-0.0186217844610478,0.230179255704605,0.101086730634537,0.169528903945698,0.580033935251141,NA,NA,NA,NA,50
"shared","deseq2_pb",0.164016038240421,0.03725416743375,0.0850378787878788,0.223831105414149,0.463903016080101,0.0289859521961864,0.401741396724623,0.512982387666488,0.0219358744746645,0.00597901946933842,0.0102555679287305,0.0320557413600892,0.0965394225674562,0.0111026038468644,0.0744444444444444,0.117142733134921,0.992993939393939,0.00737346232293127,0.98,1,0.997,0.00505076272276106,0.99,1,-0.0534087568632064,0.0276268003187898,-0.0927058240949101,0.0150368861088963,0.229335201953042,0.153731149859599,0.163100985461064,0.697466320921848,0.862969696969697,0.0319091963296571,0.81,0.92775,50
"region_specific","dream_blind",0.32319428873819,0.1119551596605,0.0981003039513678,0.542250512645249,0.549050352130909,0.0533019196525452,0.448690388848129,0.641864555334814,0.0176282806461798,0.0102249601319447,0.00272222222222222,0.0425933444568038,0.106495198464901,0.0211183081143529,0.07025,0.142130144605117,0.3022,0.0709782950439565,0.15675,0.42325,0.7706,0.0391965221281018,0.71,0.84775,-1.05361777870322,0.0202369769086563,-1.09276821747015,-1.0175245815912,1.07503507719219,0.0202824509103956,1.04000634373772,1.11352614148798,6e-04,0.00239897937482095,0,0.01,50
"region_specific","dream_napari",0.30518778089376,0.117947698046129,0.0771618625277162,0.548238380809595,0.553110860285155,0.0562521110508329,0.451046153846154,0.657370344295819,0.0120722877705068,0.00862084331813636,0.00111111111111111,0.0346174568965517,0.0967698906930943,0.0197956129616001,0.0632222222222222,0.133342602892102,0.220830303030303,0.079405405706578,0.1,0.36775,0.689517171717172,0.0571845879732483,0.54675,0.7755,-1.10343414848474,0.0262005380815131,-1.15436332519391,-1.06238362112149,1.12262276050622,0.0251457535423459,1.08339661324528,1.17127571449896,0,0,0,0,50
"region_specific","dream_quint",0.30518778089376,0.117947698046129,0.0771618625277162,0.548238380809595,0.553110860285155,0.0562521110508329,0.451046153846154,0.657370344295819,0.0120722877705068,0.00862084331813636,0.00111111111111111,0.0346174568965517,0.0967698906930943,0.0197956129616001,0.0632222222222222,0.133342602892102,0.220830303030303,0.079405405706578,0.1,0.36775,0.689517171717172,0.0571845879732483,0.54675,0.7755,-1.10343414848474,0.0262005380815131,-1.15436332519391,-1.06238362112149,1.12262276050622,0.0251457535423459,1.08339661324528,1.17127571449896,0,0,0,0,50
"region_specific","dream_interaction",0.395166317497245,0.0744416714399473,0.242607472880675,0.491480785296575,0.604146783318476,0.0331512876470533,0.552036199095023,0.648516604010025,0.0735546952964593,0.0212212259924899,0.0354444444444444,0.10422030651341,0.168933886836786,0.0222846762351267,0.134694444444444,0.204555555555556,0.978,0.0151185789203691,0.95,1,0.9854,0.0135842045127751,0.96,1,-0.336116932910705,0.0338936984492994,-0.394323092014266,-0.278234702217318,0.508143335469164,0.0448352415794102,0.430877061384178,0.605365207705974,0.568,0.0491146098219174,0.4745,0.65775,50
