"fdr_adj","fdr_raw","fpr_adj","fpr_raw","power_adj","power_raw","bias","rmse","ci_coverage","n_genes_scored","n_true_de","scenario","seed","model"
1,1,0.634,0.807,NA,NA,NA,NA,NA,1000,0,"null","24","seurat_blind"
1,1,0.601,0.78,NA,NA,NA,NA,NA,1000,0,"null","24","seurat_napari"
1,1,0.601,0.78,NA,NA,NA,NA,NA,1000,0,"null","24","seurat_quint"
1,1,0.639,0.808,NA,NA,NA,NA,NA,1000,0,"null","24","wilcoxon"
1,1,0.002002002002002,0.0790790790790791,NA,NA,NA,NA,NA,999,0,"null","24","deseq2_pb"
1,1,0.003,0.082,NA,NA,NA,NA,NA,1000,0,"null","25","dream_blind"
1,1,0.001,0.083,NA,NA,NA,NA,NA,1000,0,"null","25","dream_napari"
1,1,0.001,0.083,NA,NA,NA,NA,NA,1000,0,"null","25","dream_quint"
1,1,0.62,0.81,NA,NA,NA,NA,NA,1000,0,"null","25","seurat_blind"
1,1,0.605,0.775,NA,NA,NA,NA,NA,1000,0,"null","25","seurat_napari"
1,1,0.605,0.775,NA,NA,NA,NA,NA,1000,0,"null","25","seurat_quint"
1,1,0.65,0.828,NA,NA,NA,NA,NA,1000,0,"null","25","wilcoxon"
1,1,0.003,0.077,NA,NA,NA,NA,NA,1000,0,"null","25","deseq2_pb"
1,1,0.002,0.084,NA,NA,NA,NA,NA,1000,0,"null","26","dream_blind"
1,1,0.00200400801603206,0.0761523046092184,NA,NA,NA,NA,NA,998,0,"null","26","dream_napari"
1,1,0.00200400801603206,0.0761523046092184,NA,NA,NA,NA,NA,998,0,"null","26","dream_quint"
1,1,0.623,0.786,NA,NA,NA,NA,NA,1000,0,"null","26","seurat_blind"
1,1,0.606,0.772,NA,NA,NA,NA,NA,1000,0,"null","26","seurat_napari"
1,1,0.606,0.772,NA,NA,NA,NA,NA,1000,0,"null","26","seurat_quint"
1,1,0.639,0.789,NA,NA,NA,NA,NA,1000,0,"null","26","wilcoxon"
NA,1,0,0.08,NA,NA,NA,NA,NA,1000,0,"null","26","deseq2_pb"
1,1,0.001,0.076,NA,NA,NA,NA,NA,1000,0,"null","27","dream_blind"
1,1,0.001,0.077,NA,NA,NA,NA,NA,1000,0,"null","27","dream_napari"
1,1,0.001,0.077,NA,NA,NA,NA,NA,1000,0,"null","27","dream_quint"
1,1,0.592,0.749,NA,NA,NA,NA,NA,1000,0,"null","27","seurat_blind"
1,1,0.568,0.76,NA,NA,NA,NA,NA,1000,0,"null","27","seurat_napari"
