"scenario","model","fdr_adj_mean","fdr_adj_sd","fdr_adj_lo95","fdr_adj_hi95","fdr_raw_mean","fdr_raw_sd","fdr_raw_lo95","fdr_raw_hi95","fpr_adj_mean","fpr_adj_sd","fpr_adj_lo95","fpr_adj_hi95","fpr_raw_mean","fpr_raw_sd","fpr_raw_lo95","fpr_raw_hi95","power_adj_mean","power_adj_sd","power_adj_lo95","power_adj_hi95","power_raw_mean","power_raw_sd","power_raw_lo95","power_raw_hi95","bias_mean","bias_sd","bias_lo95","bias_hi95","rmse_mean","rmse_sd","rmse_lo95","rmse_hi95","ci_coverage_mean","ci_coverage_sd","ci_coverage_lo95","ci_coverage_hi95","n_seeds"
"shared","dream_quint",0.346164059954294,0.0920642554144676,0.156165677280086,0.481937351038475,0.568153416100062,0.0435940333546938,0.476981981981982,0.637946218016743,0.0557460157963742,0.0206970959983922,0.0177822271659869,0.0923333333333333,0.145122882390976,0.0249451307213724,0.0985277777777778,0.186777777777778,0.9004,0.0335005330447997,0.84,0.95,0.976,0.0170233932683043,0.95,1,-0.228439830703044,0.0258509714023819,-0.278058965076154,-0.189748292613429,0.368832664507933,0.0285675790327103,0.323431173352116,0.430810754105136,0.5626,0.0449857120174204,0.47225,0.63,50
"shared","seurat_blind",0.858843808238374,0.0072030148770753,0.846773903666427,0.871465487403243,0.882013378204639,0.00295844135350248,0.876153178662769,0.88710448789073,0.671155555555556,0.0384369331920141,0.606805555555556,0.740111111111111,0.828133333333333,0.0215621235055369,0.785583333333333,0.873083333333333,0.99,0.00989743318610788,0.97,1,0.9964,0.00662709343128184,0.98,1,-0.0609180208242593,0.0557972186519025,-0.169362055166232,0.047524379130727,0.248666505058879,0.14564746001158,0.165122239861175,0.674678361842964,NA,NA,NA,NA,50
"shared","seurat_napari",0.855257877856565,0.00845499830140114,0.840135471580199,0.870735122011313,0.879843961708838,0.00417388070583619,0.872269186466488,0.887004049054057,0.652266666666667,0.0433021924269965,0.58025,0.740972222222222,0.811688888888889,0.0302473551625769,0.758777777777778,0.868138888888889,0.9898,0.0105926428068095,0.96225,1,0.9964,0.00692820323027551,0.98,1,-0.0609180208242593,0.0557972186519025,-0.169362055166232,0.047524379130727,0.248666505058879,0.14564746001158,0.165122239861175,0.674678361842964,NA,NA,NA,NA,50
"shared","seurat_quint",0.855257877856565,0.00845499830140114,0.840135471580199,0.870735122011313,0.879843961708838,0.00417388070583619,0.872269186466488,0.887004049054057,0.652266666666667,0.0433021924269965,0.58025,0.740972222222222,0.811688888888889,0.0302473551625769,0.758777777777778,0.868138888888889,0.9898,0.0105926428068095,0.96225,1,0.9964,0.00692820323027551,0.98,1,-0.0609180208242593,0.0557972186519025,-0.169362055166232,0.047524379130727,0.248666505058879,0.14564746001158,0.165122239861175,0.674678361842964,NA,NA,NA,NA,50
"shared","wilcoxon",0.856219272909218,0.00607117545300279,0.845367365483222,0.866675475831104,0.880090122109203,0.00282622564171013,0.873703245455411,0.884743217054264,0.655066666666667,0.0303279795595964,0.60275,0.711333333333333,0.813022222222222,0.0201419002361921,0.768666666666667,0.847277777777778,0.9882,0.0108213696368032,0.96,1,0.9964,0.00597955701041611,0.98,1,-0.0609180208242593,0.0557972186519025,-0.169362055166232,0.047524379130727,0.248666505058879,0.14564746001158,0.165122239861175,0.674678361842964,NA,NA,NA,NA,50
"shared","deseq2_pb",0.168209917033483,0.0381974254476953,0.0917431192660551,0.235784254807692,0.455151078292392,0.0260355897138821,0.401999572284003,0.489795918367347,0.0225785905358428,0.00611675264779716,0.0111386507363074,0.0339983854226733,0.0929250563169546,0.00968720639431645,0.0747964826050227,0.106850779510022,0.992193939393939,0.00910642620825018,0.972204545454545,1,0.99559797979798,0.00644148118362541,0.982227272727273,1,-0.035579068606084,0.0365679822630255,-0.0720410074708403,0.0715482530407286,0.278014821455499,0.264727273756655,0.16856221964817,1.06671083589757,0.849335353535353,0.0355852821354366,0.781772727272727,0.9,50
"region_specific","dream_blind",0.383380979937999,0.123979918838279,0.170075757575758,0.594545454545454,0.587405712460384,0.0496002630268554,0.488602941176471,0.664727393617021,0.0144470399208998,0.00891204752036516,0.00358333333333333,0.0383888888888889,0.108422197503399,0.0188694310764205,0.0755833333333333,0.139534482758621,0.1868,0.0498340101881092,0.09,0.26775,0.6738,0.0420830083506008,0.58675,0.74,-1.10540737429606,0.0182554121290082,-1.1403392507308,-1.07728871883578,1.12446779475487,0.0180898518891366,1.09607053367288,1.15994457159713,0,0,0,0,50
"region_specific","dream_napari",0.388377649934354,0.153707567947478,0.1075,0.653236607142857,0.595449934204727,0.0504239392117624,0.495882723833543,0.690073529411765,0.00887756748137597,0.00621535027269785,0.00111111111111111,0.0233333333333333,0.0926851966680947,0.017173175264968,0.0666833518724509,0.126168087999011,0.1146,0.0501104901641343,0.02225,0.19,0.5564,0.0468065929422036,0.4545,0.6355,-1.17438520134265,0.0204756729937533,-1.22824967822689,-1.14366260062382,1.19025161029502,0.0198137353859152,1.16028817210807,1.24209595953179,0,0,0,0,50
"region_specific","dream_quint",0.388377649934354,0.153707567947478,0.1075,0.653236607142857,0.595449934204727,0.0504239392117624,0.495882723833543,0.690073529411765,0.00887756748137597,0.00621535027269785,0.00111111111111111,0.0233333333333333,0.0926851966680947,0.017173175264968,0.0666833518724509,0.126168087999011,0.1146,0.0501104901641343,0.02225,0.19,0.5564,0.0468065929422036,0.4545,0.6355,-1.17438520134265,0.0204756729937533,-1.22824967822689,-1.14366260062382,1.19025161029502,0.0198137353859152,1.16028817210807,1.24209595953179,0,0,0,0,50
"region_specific","dream_interaction",0.388730050392201,0.0949856364216462,0.153283468559838,0.50519457685395,0.603832230951617,0.0438667420831326,0.503052860696517,0.671993333482975,0.0727638628367717,0.0249393766568471,0.0199051724137931,0.111583333333333,0.170419326674025,0.0292329797562739,0.112250308985292,0.223083333333333,0.9754,0.0163145108816085,0.94,1,0.9862,0.0135360440969996,0.95,1,-0.34438893086334,0.0352661720479731,-0.406127240731898,-0.28245414234475,0.515828842110699,0.0467674101884729,0.428025045753304,0.611850010476208,0.5686,0.0449947842782349,0.4845,0.64,50
