"fdr_adj","fdr_raw","fpr_adj","fpr_raw","power_adj","power_raw","bias","rmse","ci_coverage","n_genes_scored","n_true_de","scenario","seed","region","model"
NA,1,0,0.0620620620620621,NA,NA,NA,NA,NA,999,0,"null","8","Olfactory","stratified_Olfactory"
NA,1,0,0.0711422845691383,NA,NA,NA,NA,NA,998,0,"null","8","Striatum","stratified_Striatum"
1,1,0.001,0.075,NA,NA,NA,NA,NA,1000,0,"null","9","Cerebellum","stratified_Cerebellum"
1,1,0.001,0.079,NA,NA,NA,NA,NA,1000,0,"null","9","Cortex","stratified_Cortex"
1,1,0.002,0.081,NA,NA,NA,NA,NA,1000,0,"null","9","Hippocampus","stratified_Hippocampus"
1,1,0.005,0.069,NA,NA,NA,NA,NA,1000,0,"null","9","Olfactory","stratified_Olfactory"
1,1,0.006,0.061,NA,NA,NA,NA,NA,1000,0,"null","9","Striatum","stratified_Striatum"
0.252252252252252,0.510416666666667,0.0311111111111111,0.108888888888889,0.83,0.94,-0.221213434978244,0.426197254903202,0.56,1000,100,"shared","1","Cerebellum","stratified_Cerebellum"
0.333333333333333,0.55868544600939,0.0477777777777778,0.132222222222222,0.86,0.94,-0.20083725293636,0.385072210832547,0.57,1000,100,"shared","1","Cortex","stratified_Cortex"
0.156862745098039,0.486187845303867,0.0177777777777778,0.0977777777777778,0.86,0.93,-0.140926838430366,0.459706214388392,0.59,1000,100,"shared","1","Hippocampus","stratified_Hippocampus"
0.254385964912281,0.523316062176166,0.0322222222222222,0.112222222222222,0.85,0.92,-0.197370677205037,0.417569076451774,0.54,1000,100,"shared","1","Olfactory","stratified_Olfactory"
0.186915887850467,0.5,0.0222222222222222,0.102222222222222,0.87,0.92,-0.242712328076579,0.453134303611521,0.57,1000,100,"shared","1","Striatum","stratified_Striatum"
0.231481481481481,0.461988304093567,0.0277777777777778,0.0877777777777778,0.83,0.92,-0.196850585475006,0.421126039008689,0.52,1000,100,"shared","10","Cerebellum","stratified_Cerebellum"
0.19811320754717,0.472222222222222,0.0233333333333333,0.0944444444444444,0.85,0.95,-0.193216292692871,0.410575889124401,0.48,1000,100,"shared","10","Cortex","stratified_Cortex"
0.194444444444444,0.483870967741935,0.0233333333333333,0.1,0.87,0.96,-0.127630561767789,0.406664261994347,0.53,1000,100,"shared","10","Hippocampus","stratified_Hippocampus"
0.269565217391304,0.53921568627451,0.0344444444444444,0.122222222222222,0.84,0.94,-0.14327300799641,0.413756836450057,0.52,1000,100,"shared","10","Olfactory","stratified_Olfactory"
0.233009708737864,0.49438202247191,0.0266666666666667,0.0977777777777778,0.79,0.9,-0.255396293690654,0.462244706030086,0.5,1000,100,"shared","10","Striatum","stratified_Striatum"
0.28448275862069,0.523316062176166,0.0367483296213808,0.112472160356347,0.83,0.92,-0.208645453781593,0.417448030453053,0.51,998,100,"shared","11","Cerebellum","stratified_Cerebellum"
0.306451612903226,0.536945812807882,0.0422222222222222,0.121111111111111,0.86,0.94,-0.180564337238731,0.372931373225857,0.61,1000,100,"shared","11","Cortex","stratified_Cortex"
0.0777777777777778,0.46927374301676,0.00780379041248606,0.0936454849498328,0.83,0.95,-0.168269476683834,0.400531094837813,0.58,997,100,"shared","11","Hippocampus","stratified_Hippocampus"
0.173076923076923,0.457831325301205,0.0200445434298441,0.0846325167037862,0.86,0.9,-0.223966963346184,0.430184547634428,0.55,998,100,"shared","11","Olfactory","stratified_Olfactory"
0.149425287356322,0.516483516483517,0.0144766146993318,0.10467706013363,0.74,0.88,-0.277823927863284,0.495076354321266,0.55,998,100,"shared","11","Striatum","stratified_Striatum"
0.341666666666667,0.579646017699115,0.0455555555555556,0.145555555555556,0.79,0.95,-0.209195917706879,0.448389753394034,0.53,1000,100,"shared","12","Cerebellum","stratified_Cerebellum"
0.412587412587413,0.592274678111588,0.0655555555555556,0.153333333333333,0.84,0.95,-0.236837084382733,0.398831018879904,0.49,1000,100,"shared","12","Cortex","stratified_Cortex"
0.409090909090909,0.593886462882096,0.06,0.151111111111111,0.78,0.93,-0.267176399243787,0.475437558058457,0.45,1000,100,"shared","12","Hippocampus","stratified_Hippocampus"
0.412587412587413,0.595744680851064,0.0655555555555556,0.155555555555556,0.84,0.95,-0.193693421752216,0.387417537186372,0.55,1000,100,"shared","12","Olfactory","stratified_Olfactory"
0.388059701492537,0.579185520361991,0.0577777777777778,0.142222222222222,0.82,0.93,-0.199029714390762,0.463572256085742,0.54,1000,100,"shared","12","Striatum","stratified_Striatum"
0.314285714285714,0.583732057416268,0.0367892976588629,0.136008918617614,0.72,0.87,-0.29897589037113,0.484225394021021,0.43,997,100,"shared","13","Cerebellum","stratified_Cerebellum"
0.397163120567376,0.59051724137931,0.0622914349276974,0.152391546162403,0.85,0.95,-0.210422675110945,0.389575712375909,0.51,999,100,"shared","13","Cortex","stratified_Cortex"
0.304347826086957,0.584821428571429,0.0390189520624303,0.146042363433668,0.8,0.93,-0.214947663199318,0.4376746299832,0.55,997,100,"shared","13","Hippocampus","stratified_Hippocampus"
0.460526315789474,0.606060606060606,0.0780379041248606,0.156075808249721,0.82,0.91,-0.309243559597537,0.491107955207756,0.43,997,100,"shared","13","Olfactory","stratified_Olfactory"
0.41958041958042,0.585585585585586,0.0668896321070234,0.144927536231884,0.83,0.92,-0.170782374320968,0.455355100420142,0.5,997,100,"shared","13","Striatum","stratified_Striatum"
0.236363636363636,0.510309278350515,0.0288888888888889,0.11,0.84,0.95,-0.0835220105446185,0.459003680708189,0.51,1000,100,"shared","14","Cerebellum","stratified_Cerebellum"
0.277777777777778,0.538095238095238,0.0389321468298109,0.125695216907675,0.91,0.97,-0.165315218492376,0.377081688527755,0.53,999,100,"shared","14","Cortex","stratified_Cortex"
