"fdr_adj","fdr_raw","fpr_adj","fpr_raw","power_adj","power_raw","bias","rmse","ci_coverage","n_genes_scored","n_true_de","scenario","seed","model"
0.314685314685315,0.537383177570093,0.05,0.127777777777778,0.98,0.99,-1.45914120991338,1.99228833557239,NA,1000,100,"interaction","19","stratified_combined"
0.344594594594595,0.565789473684211,0.0566666666666667,0.143333333333333,0.97,0.99,-1.76105090082782,2.19435276919855,NA,1000,100,"interaction","2","stratified_combined"
0.418181818181818,0.568281938325991,0.0766666666666667,0.143333333333333,0.96,0.98,-1.46340018155642,1.99593950219467,NA,1000,100,"interaction","20","stratified_combined"
0.418181818181818,0.553571428571429,0.0766666666666667,0.137777777777778,0.96,1,-1.52493084566781,2.05570225536358,NA,1000,100,"interaction","21","stratified_combined"
0.39873417721519,0.563063063063063,0.07,0.138888888888889,0.95,0.97,-1.57564090611144,2.10079596936613,NA,1000,100,"interaction","22","stratified_combined"
0.232558139534884,0.478947368421053,0.0333333333333333,0.101111111111111,0.99,0.99,-1.76365021345487,2.19760573441781,NA,1000,100,"interaction","23","stratified_combined"
0.195121951219512,0.424418604651163,0.0266666666666667,0.0811111111111111,0.99,0.99,-1.46171249277758,1.97903493493348,NA,1000,100,"interaction","24","stratified_combined"
0.365384615384615,0.509803921568627,0.0633333333333333,0.115555555555556,0.99,1,-2.04310029129463,2.42585206089757,NA,1000,100,"interaction","25","stratified_combined"
0.366013071895425,0.530516431924883,0.0622222222222222,0.125555555555556,0.97,1,-1.84169595279649,2.2741964425662,NA,1000,100,"interaction","26","stratified_combined"
0.309352517985612,0.521739130434783,0.0477777777777778,0.12,0.96,0.99,-1.30169580824263,1.86190452013639,NA,1000,100,"interaction","27","stratified_combined"
0.302158273381295,0.49238578680203,0.0466666666666667,0.107777777777778,0.97,1,-1.82585389053796,2.2749963948862,NA,1000,100,"interaction","28","stratified_combined"
0.4375,0.579831932773109,0.085650723025584,0.153503893214683,0.99,1,-1.69479848806425,2.19399856935632,NA,999,100,"interaction","29","stratified_combined"
0.284671532846715,0.5,0.0433333333333333,0.111111111111111,0.98,1,-1.45514876889676,2.00155517685934,NA,1000,100,"interaction","3","stratified_combined"
0.441340782122905,0.568965517241379,0.0877777777777778,0.146666666666667,1,1,-1.67333060746065,2.15987091600458,NA,1000,100,"interaction","30","stratified_combined"
0.255639097744361,0.507389162561576,0.0377777777777778,0.114444444444444,0.99,1,-1.26809228357301,1.81831671377022,NA,1000,100,"interaction","31","stratified_combined"
0.259541984732824,0.469945355191257,0.0377777777777778,0.0955555555555556,0.97,0.97,-1.76939340598752,2.22853083495013,NA,1000,100,"interaction","32","stratified_combined"
0.251908396946565,0.470899470899471,0.0366666666666667,0.0988888888888889,0.98,1,-1.23702041779499,1.79198826395344,NA,1000,100,"interaction","33","stratified_combined"
0.304347826086957,0.542056074766355,0.0466666666666667,0.128888888888889,0.96,0.98,-1.63667864606389,2.13978276712468,NA,1000,100,"interaction","34","stratified_combined"
0.335570469798658,0.516908212560386,0.0555555555555556,0.118888888888889,0.99,1,-1.86364367935557,2.29843992988412,NA,1000,100,"interaction","35","stratified_combined"
0.431137724550898,0.595833333333333,0.0800889877641824,0.159065628476085,0.95,0.97,-1.75025639604892,2.2275516283165,NA,999,100,"interaction","36","stratified_combined"
0.411042944785276,0.556561085972851,0.0744444444444444,0.136666666666667,0.96,0.98,-1.25497797016838,1.82312494753409,NA,1000,100,"interaction","37","stratified_combined"
0.390728476821192,0.567567567567568,0.0656284760845384,0.140155728587319,0.92,0.96,-1.67449845233221,2.13315050583659,NA,999,100,"interaction","38","stratified_combined"
0.283582089552239,0.464864864864865,0.0422222222222222,0.0955555555555556,0.96,0.99,-1.59446290167956,2.08984810371033,NA,1000,100,"interaction","39","stratified_combined"
0.168067226890756,0.456043956043956,0.0222222222222222,0.0922222222222222,0.99,0.99,-1.40266487643584,1.96484013021181,NA,1000,100,"interaction","4","stratified_combined"
0.246031746031746,0.467741935483871,0.0344444444444444,0.0966666666666667,0.95,0.99,-1.42623983775171,1.99755443185647,NA,1000,100,"interaction","40","stratified_combined"
0.395061728395062,0.590909090909091,0.0711111111111111,0.158888888888889,0.98,0.99,-1.24691014106725,1.81866788139857,NA,1000,100,"interaction","41","stratified_combined"
0.235772357723577,0.502564102564103,0.0322222222222222,0.108888888888889,0.94,0.97,-1.47158647065313,2.01453047051803,NA,1000,100,"interaction","42","stratified_combined"
0.225806451612903,0.452513966480447,0.0311111111111111,0.09,0.96,0.98,-1.71360077543814,2.14423089294891,NA,1000,100,"interaction","43","stratified_combined"
0.369426751592357,0.54337899543379,0.0645879732739421,0.132516703786192,0.99,1,-1.53565917288068,2.06040935641734,NA,998,100,"interaction","44","stratified_combined"
0.291970802919708,0.528846153846154,0.0444444444444444,0.122222222222222,0.97,0.98,-1.40571583367892,1.92110782915543,NA,1000,100,"interaction","45","stratified_combined"
0.361290322580645,0.539170506912442,0.0622222222222222,0.13,0.99,1,-1.35054712626535,1.92128871963143,NA,1000,100,"interaction","46","stratified_combined"
0.272058823529412,0.516908212560386,0.0411568409343715,0.119021134593993,0.99,1,-1.86660290372069,2.295657906622,NA,999,100,"interaction","47","stratified_combined"
0.355704697986577,0.565789473684211,0.0588888888888889,0.143333333333333,0.96,0.99,-1.60371171944029,2.08839493932803,NA,1000,100,"interaction","48","stratified_combined"
