"fdr_adj","fdr_raw","fpr_adj","fpr_raw","power_adj","power_raw","bias","rmse","ci_coverage","n_genes_scored","n_true_de","scenario","seed","region","model"
1,1,0.007,0.082,NA,NA,NA,NA,NA,1000,0,"null","3","Olfactory","stratified_Olfactory"
1,1,0.008,0.086,NA,NA,NA,NA,NA,1000,0,"null","3","Striatum","stratified_Striatum"
1,1,0.001001001001001,0.0520520520520521,NA,NA,NA,NA,NA,999,0,"null","4","Cerebellum","stratified_Cerebellum"
1,1,0.001,0.067,NA,NA,NA,NA,NA,1000,0,"null","4","Cortex","stratified_Cortex"
1,1,0.004,0.059,NA,NA,NA,NA,NA,1000,0,"null","4","Hippocampus","stratified_Hippocampus"
1,1,0.002,0.056,NA,NA,NA,NA,NA,1000,0,"null","4","Olfactory","stratified_Olfactory"
1,1,0.002,0.068,NA,NA,NA,NA,NA,1000,0,"null","4","Striatum","stratified_Striatum"
1,1,0.003003003003003,0.0740740740740741,NA,NA,NA,NA,NA,999,0,"null","5","Cerebellum","stratified_Cerebellum"
1,1,0.002,0.058,NA,NA,NA,NA,NA,1000,0,"null","5","Cortex","stratified_Cortex"
1,1,0.001,0.065,NA,NA,NA,NA,NA,1000,0,"null","5","Hippocampus","stratified_Hippocampus"
1,1,0.008,0.069,NA,NA,NA,NA,NA,1000,0,"null","5","Olfactory","stratified_Olfactory"
NA,1,0,0.063,NA,NA,NA,NA,NA,1000,0,"null","5","Striatum","stratified_Striatum"
1,1,0.00601805416248746,0.0712136409227683,NA,NA,NA,NA,NA,997,0,"null","6","Cerebellum","stratified_Cerebellum"
1,1,0.004004004004004,0.0900900900900901,NA,NA,NA,NA,NA,999,0,"null","6","Cortex","stratified_Cortex"
1,1,0.00501504513540622,0.0772316950852558,NA,NA,NA,NA,NA,997,0,"null","6","Hippocampus","stratified_Hippocampus"
1,1,0.00401203610832497,0.086258776328987,NA,NA,NA,NA,NA,997,0,"null","6","Olfactory","stratified_Olfactory"
1,1,0.00100300902708124,0.0762286860581745,NA,NA,NA,NA,NA,997,0,"null","6","Striatum","stratified_Striatum"
1,1,0.002002002002002,0.0710710710710711,NA,NA,NA,NA,NA,999,0,"null","7","Cerebellum","stratified_Cerebellum"
1,1,0.00100200400801603,0.06312625250501,NA,NA,NA,NA,NA,998,0,"null","7","Cortex","stratified_Cortex"
NA,1,0,0.0681362725450902,NA,NA,NA,NA,NA,998,0,"null","7","Hippocampus","stratified_Hippocampus"
1,1,0.003003003003003,0.0830830830830831,NA,NA,NA,NA,NA,999,0,"null","7","Olfactory","stratified_Olfactory"
1,1,0.00501002004008016,0.0821643286573146,NA,NA,NA,NA,NA,998,0,"null","7","Striatum","stratified_Striatum"
1,1,0.001001001001001,0.0680680680680681,NA,NA,NA,NA,NA,999,0,"null","8","Cerebellum","stratified_Cerebellum"
NA,1,0,0.0651955867602808,NA,NA,NA,NA,NA,997,0,"null","8","Cortex","stratified_Cortex"
1,1,0.00501504513540622,0.0672016048144433,NA,NA,NA,NA,NA,997,0,"null","8","Hippocampus","stratified_Hippocampus"
NA,1,0,0.064128256513026,NA,NA,NA,NA,NA,998,0,"null","8","Olfactory","stratified_Olfactory"
NA,1,0,0.0732196589769308,NA,NA,NA,NA,NA,997,0,"null","8","Striatum","stratified_Striatum"
1,1,0.001,0.083,NA,NA,NA,NA,NA,1000,0,"null","9","Cerebellum","stratified_Cerebellum"
NA,1,0,0.079,NA,NA,NA,NA,NA,1000,0,"null","9","Cortex","stratified_Cortex"
