"fdr_adj","fdr_raw","fpr_adj","fpr_raw","power_adj","power_raw","bias","rmse","ci_coverage","n_genes_scored","n_true_de","scenario","seed","model"
0.336,0.49468085106383,0.0466666666666667,0.103333333333333,0.83,0.95,-0.105565375691269,0.420475108143938,NA,1000,100,"shared","22","stratified_combined"
0.307086614173228,0.44,0.0433333333333333,0.0855555555555556,0.88,0.98,-0.0390146261016413,0.404574455544785,NA,1000,100,"shared","23","stratified_combined"
0.300751879699248,0.479166666666667,0.0444444444444444,0.102222222222222,0.93,1,-0.13115532513912,0.427802353067198,NA,1000,100,"shared","24","stratified_combined"
0.406451612903226,0.531707317073171,0.07,0.121111111111111,0.92,0.96,-0.0326496181906845,0.432204547374522,NA,1000,100,"shared","25","stratified_combined"
0.415584415584416,0.526829268292683,0.0711111111111111,0.12,0.9,0.97,-0.0296936453487752,0.422621106697494,NA,1000,100,"shared","26","stratified_combined"
0.3,0.461538461538462,0.0433333333333333,0.0933333333333333,0.91,0.98,-0.070027470715274,0.40418343554423,NA,1000,100,"shared","27","stratified_combined"
0.275590551181102,0.474860335195531,0.0388888888888889,0.0944444444444444,0.92,0.94,-0.0296254500405733,0.482988520943802,NA,1000,100,"shared","28","stratified_combined"
0.425806451612903,0.519607843137255,0.0734149054505006,0.117908787541713,0.89,0.98,0.0332429120466788,0.462879690658221,NA,999,100,"shared","29","stratified_combined"
0.392156862745098,0.50253807106599,0.0666666666666667,0.11,0.93,0.98,-0.00246675574833462,0.390778103257916,NA,1000,100,"shared","3","stratified_combined"
0.347517730496454,0.51,0.0544444444444444,0.113333333333333,0.92,0.98,-0.0580759809321972,0.479596265543717,NA,1000,100,"shared","30","stratified_combined"
0.390728476821192,0.486910994764398,0.0655555555555556,0.103333333333333,0.92,0.98,-0.0614669927399898,0.420574988282405,NA,1000,100,"shared","31","stratified_combined"
0.381294964028777,0.515151515151515,0.0588888888888889,0.113333333333333,0.86,0.96,-0.0741442826466064,0.373186400481213,NA,1000,100,"shared","32","stratified_combined"
0.205357142857143,0.439306358381503,0.0255555555555556,0.0844444444444444,0.89,0.97,-0.071141154396675,0.401195942755326,NA,1000,100,"shared","33","stratified_combined"
0.340579710144928,0.517587939698492,0.0522222222222222,0.114444444444444,0.91,0.96,-0.016537789914793,0.483316558094437,NA,1000,100,"shared","34","stratified_combined"
0.425806451612903,0.542452830188679,0.0733333333333333,0.127777777777778,0.89,0.97,0.0450302315996486,0.436176532366282,NA,1000,100,"shared","35","stratified_combined"
0.377777777777778,0.536231884057971,0.0567296996662959,0.123470522803115,0.84,0.96,-0.0586585215751828,0.422275060462283,NA,999,100,"shared","36","stratified_combined"
0.395348837209302,0.478260869565217,0.0566666666666667,0.0977777777777778,0.78,0.96,-0.0562449425933137,0.449297298242085,NA,1000,100,"shared","37","stratified_combined"
0.494186046511628,0.589958158995816,0.0944444444444444,0.156666666666667,0.87,0.98,-0.121243039715573,0.468834964435183,NA,1000,100,"shared","38","stratified_combined"
0.154545454545455,0.418604651162791,0.0188888888888889,0.08,0.93,1,-0.00203972716040589,0.484475707469514,NA,1000,100,"shared","39","stratified_combined"
